id,date,expo,side,condition
e684e59cf4a545beaf9715ec76e4ee23,2019-05-15 14:21:00,MSW,left,TaxiDriver
ac21392b6a59404dae329be5b9b2a989,2019-05-15 14:33:00,MSW,left,RadioTalk
75a52bc317ee4ee8a872c818ca8e249d,2019-05-15 14:34:00,MSW,right,TaxiDriver
a4abe20f62df425fa69de0cbfb82a8d4,2019-05-15 14:35:00,MSW,left,RadioTalk
44054e8856c94e5eb0465fc6ef68f921,2019-05-15 14:38:00,MSW,right,TaxiDriver
5f5fb7595c53450fb92ab1acae96830b,2019-05-15 14:38:00,MSW,left,TaxiDriver
ce967432d46e4a9e892321b06690685b,2019-05-15 14:49:00,MSW,left,TaxiDriver
78c55427a7e4422fa562dd4547282ffc,2019-05-15 14:53:00,MSW,left,TaxiDriver
b0cb6f0681f246c6a19de8f8e5d2ea45,2019-05-15 14:58:00,MSW,right,RadioTalk
3ef0d5e00dd84407a5bd576c3a7875cc,2019-05-15 15:03:00,MSW,left,AVAS
b4acefc7d36b4abe81d0291e41677a9a,2019-05-15 15:07:00,MSW,right,TaxiDriver
eb3198c069a7405bbdf1743472a81305,2019-05-15 15:07:00,MSW,left,RadioTalk
ea422f2027ea47659849bf88b92bc61f,2019-05-15 15:12:00,MSW,left,TaxiDriver
2904da6c2f3a4b10bf982be3f91a9961,2019-05-15 15:17:00,MSW,left,AVAS
e993b1bdc98a4b169d6aae6877fa1553,2019-05-15 15:21:00,MSW,right,TaxiDriver
2377eaf3c46d49ce950a71bf01ff6902,2019-05-15 15:22:00,MSW,left,RadioTalk
54ca5a82244e4f09b2f8cb0c65bb05d9,2019-05-15 15:23:00,MSW,right,RadioTalk
e2782411d157481fa8135b31ffedc830,2019-05-15 15:27:00,MSW,left,RadioTalk
005fe0de24c7443fb38fbc59e68e3684,2019-05-15 16:35:00,MSW,right,TaxiDriver
75f6d368fa33408eaeae695ff41a760b,2019-05-15 16:36:00,MSW,left,RadioTalk
d96c0c9e45a44466ad8d4e1775d0d262,2019-05-15 16:51:00,MSW,left,TaxiDriver
ed4867086c75453680e30e960dc1a6a7,2019-05-15 17:05:00,MSW,right,AVAS
375e9403926f4372bae5639070635d6c,2019-05-15 17:08:00,MSW,right,AVAS
9b605535ba324237b47615cf78e5d5a1,2019-05-15 17:10:00,MSW,right,AVAS
