,Buildings,Dynamic Cars,Dynamic Pedestrians,Inside Car,Nature,Roads,Static Cars,Static Pedestrians,Street Objects,Traffic Lights,Traffic Signs
f5a58da8a35b4c2a863ae7aacc90e341,31,0,0,13,11,4,0,0,4,3,0
649ac30a570642048675ea0d6a57edf7,36,0,0,7,13,5,0,0,5,3,0
06bada6bb8314630b98636e5bb7d9dbb,21,4,0,29,5,14,0,0,4,5,0
5e8629aff5dd4840971e0c4cd0ff88cc,28,0,0,17,5,8,0,0,2,5,0
4f5690f6fe624e31b0a0e99d5f9c4450,25,2,0,38,5,10,0,0,3,9,0
3bc71c04d09040a2825e7eecd47f3eff,0,0,0,37,0,18,0,0,0,1,0
698bf5b232c14670a99f4c094cb07e23,0,0,0,48,1,34,0,0,5,2,0
53c9ed8c361c4cc4a776dbf8155cf5e0,22,0,5,20,13,2,0,0,2,4,1
8db729b2ef8c4a8693015b4c600aebfe,1,0,0,66,0,21,0,0,0,1,0
c625d28b0a2d45eeaa5532a9370c6e67,13,1,2,33,6,20,0,0,0,4,1
6f84cb4618e044d8a71c1e0fddf49e2a,3,1,1,42,4,27,0,0,4,6,0
d7683283f0024df5b4f9b4855b29089e,2,0,1,46,3,25,0,0,0,1,0
9b83c1f3d1c942b6949191b8ac3acd34,23,0,0,26,5,19,0,0,1,9,0
42136fd6c90d4bfcb8cc7829b7f79808,22,1,0,35,4,8,0,0,1,1,0
980429ee30fe44ac96d3dcd89229c751,45,0,0,13,4,3,0,0,0,5,0
18d90b28790d4b7286eb0c73b666fd92,15,2,0,35,1,11,0,0,0,1,1
55b9a3f32df340cc86f03d13bad8e6da,40,1,1,19,10,2,0,0,3,6,0
104da7d074ef4e3bb33b0c99446169cc,31,0,0,35,4,6,0,0,2,3,1
9901ca8064514ad596ce6290ada06724,5,2,0,61,2,22,0,0,0,2,0
af6d9629229c4482bf24f85f9afd3919,21,0,0,25,6,10,0,0,1,1,1
9d37908183e84199806aaf4c8824643d,3,0,0,48,0,22,0,0,0,3,0
9b324b3235a14f3b98b02ce36b395969,22,0,0,33,8,6,0,0,1,5,0
2a67d28355a24ee6b413851a22ff0719,4,0,0,17,0,26,0,0,0,5,0
57efb6c349a04aaea9d3c4a2df2a636a,24,2,0,30,6,6,0,0,0,9,0
e765e803b461449bafe2f70f7481d861,23,1,0,25,7,4,2,0,4,1,0
d3cd11ef93514216b5a010ad2101fea7,27,2,0,34,6,5,0,0,2,7,0
39afc094e09041618e4c36915b26f768,14,0,0,40,4,15,0,0,0,5,0
8b7e286d9016489c9909168c0c4c0a20,5,0,0,51,0,17,0,0,0,3,0
610b37287dc24341a60d3ccdf6295827,2,0,0,46,0,23,0,0,1,3,0
07867f84065e44b39e7ba79ce8598fc7,22,1,0,37,5,9,1,1,2,5,0
6d67dbea0bd3410c90d76f06d1a0b64a,16,1,0,34,7,1,1,1,1,5,2
ee63529ee1a74dfd968a69ca369163bc,4,0,1,55,0,19,0,0,2,7,0
00803609c3074d37bc3fa9190c2aa256,7,1,0,47,0,18,0,0,0,4,0
3c0d0edb220240e5b1c9bf3ecfb37988,0,0,0,61,1,18,0,0,0,2,0
706ece9f26dd42d7b4eb993c7fba33ef,5,0,1,52,2,31,0,0,0,2,0
ce16b00117e446429201d9b3ad45c73b,0,0,0,42,0,18,0,0,0,1,0
fe3add9230c54bf9a36aeb8a151f76e6,1,0,0,45,0,21,0,0,0,4,0
8d8e6480c89e427f890202c535255b56,14,1,0,41,4,14,0,0,1,3,0
b1249d93f2a44db88c5d649f1d42ad78,3,0,0,53,0,26,0,0,4,1,0
4a81013077fc458f8b22ea3c9cc686fa,12,1,0,45,4,11,0,0,1,0,0
31454ccf68f14685a52aff9da42d89b3,29,1,1,19,6,6,0,0,3,8,0
2929fc2d55ea42e5a02052824e66e605,11,0,0,42,0,26,0,0,1,3,0
b097489dd2574b41b8d9fda729a19801,1,1,0,41,0,32,0,0,0,1,0
3cbaeba0e5a449b6bff0ce6f0963b601,29,1,2,12,5,4,0,0,3,4,1
d2e5ea6144d14dc5b994e32bd98f465e,10,1,0,24,2,24,0,0,0,7,0
d5dc0dc4049e4a2eb50131ce8b11c23b,18,2,0,34,6,9,0,0,4,4,0
7c30fdbf4f8b427e8603cb531bff12d5,5,0,0,48,0,28,0,0,3,2,0
eca1f08e3fbf437db61e11951aa14eec,2,0,0,47,0,24,0,0,1,2,0
15587d7fec0c4599bdd8f4a180e94aab,9,1,0,37,1,22,0,0,0,2,0
b304b224633a41eb89584c0fd25511cb,0,0,0,28,0,9,0,0,0,1,0
73050ac5b1d542648afd8103277fff66,1,0,0,30,0,11,0,0,0,1,0
a12406ee83004ee099a29cbf72afbb53,0,0,0,55,0,12,0,0,0,1,0
6b666ad331bb4f42a28f3556fcab3ebe,10,5,0,28,1,7,0,0,2,5,0
2f9eb3271fc84c20a9d56d016304b3ac,0,0,0,60,0,13,0,0,2,1,0
4faa91742672407da1b0059bef40ee87,10,1,1,30,3,13,0,0,0,3,0
a95db2d0a3ff4aeebd69ac214b75c002,1,0,0,33,0,8,0,0,1,1,0
265b57b2034c4107ad22328647e965b3,29,4,1,16,2,8,0,0,2,5,3
0ae4ee2510cb4e00a69e73ec4825214e,7,1,0,44,2,20,0,0,1,4,0
50228d3e5a2b4116850c9a4dcdb8e856,29,1,1,14,16,11,0,0,5,5,0
5dbb258de5f44c8ca595c61e405f298d,11,1,2,26,9,14,0,0,5,3,3
ea73fab8e0ac4124857e0eddd3b67c5f,0,0,0,39,0,17,0,0,0,1,0
fe3765d2b494443d8b21e379668ddc48,19,2,1,24,6,19,0,0,1,4,0
c96f7bc4c0c5430a84a7f07f3f0114ed,2,1,0,47,1,19,0,0,0,2,0
0aca2459ae514d98862436ad22cb496e,7,2,1,12,1,31,0,0,0,7,6
3ce5f0162a634f9ebc33324ad21ec777,1,0,0,56,0,24,0,0,0,2,0
0007826f6d5a4bc8a4bf504f0f53a69f,0,0,1,54,0,21,0,0,0,3,0
e9692d2a54bb43e2af5522fd5aaae894,3,0,0,55,0,9,0,0,0,2,0
044833099e844b2288724ba68b333e59,19,3,5,12,10,13,0,1,3,6,1
43dfd05246c347dd9d8fd91f55f8157b,23,4,0,12,10,7,0,0,2,7,3
9ee34cb7013e4dff86c2d891c3289f9a,41,0,1,11,7,1,0,0,3,9,0
8eb4518754ee45b0b632e02a79fa8c82,30,0,0,16,4,11,0,0,4,4,1
80483b635faa417ca495c5ea1303ffd5,2,0,0,31,0,26,0,0,1,2,0
d8310644022246ddafa0d462adc48651,15,2,2,13,5,12,0,0,3,7,0
3bd2c8fabeea4e5db0ed3aeda5bf4646,34,0,0,3,8,1,0,0,7,10,0
96ec48e5f33446b3b417022f932926ef,22,3,6,15,19,12,0,0,4,5,8
acce225b8df5438e8b499103d176f34f,12,1,1,19,1,12,0,0,2,4,0
11ea5aad9d014339af32d01386c13e96,1,0,0,6,2,22,0,0,0,7,1
68b4dc5e47c74a9f982f0d846cee976a,18,0,1,30,3,4,0,0,0,1,0
f2da1f46bc6e4df8acbfa66acb011f80,30,2,3,1,6,7,1,0,5,7,0
a630c53656c14e008ae0412b11d95d3e,17,3,2,8,5,20,0,0,4,9,0
696088784e7d43c88430bbac6efff33b,34,0,1,1,12,1,0,0,6,9,0
cce5beb9e8fb44e4a908ca59d9d747ff,18,2,2,8,6,28,0,0,3,6,1
eb163a47dcd84964840a5f0ed10515a6,0,0,0,37,0,30,0,0,1,2,0
16496051272840a4add0a56c68ab8e6b,20,1,1,18,13,7,0,0,4,7,0
782f964500ec4b02be899729cb95562b,2,0,1,37,2,39,0,0,3,3,0
009dcd4f1cc84a53aa9aeccb3098e2bf,1,0,0,29,0,35,1,0,0,5,0
475665d3bf234789b90f8604bbc132ee,11,0,0,22,5,14,0,0,1,6,0
4d50a2c85aa84677bc3abd6d5f1b5075,17,1,0,9,3,22,1,1,4,6,0
ba2bb0c32eb2490fa86d82d53906b2cf,28,1,0,16,11,7,0,0,3,4,0
6ee56ed321a94d23a0fbed5dc3426ba3,20,0,0,21,7,16,0,0,1,6,0
0f6d07360ba5447da4b82234eaa29802,2,0,1,39,2,14,0,0,1,6,2
e93fb0de5a444270a36f8b02da7c91ae,7,1,1,29,1,34,0,0,1,5,0
f80a2ed353f941e890bbd919fe4a2da8,0,0,0,38,0,34,0,0,0,2,0
c911c5c5d0b2429aad3e0dd32c1f1be8,25,3,2,9,6,15,0,0,3,11,0
fa6ade29a30440bbb40525006b817c49,42,2,1,11,11,4,0,0,5,10,0
6067d73eac38456d850ee6650bb1b7fa,33,2,0,26,7,5,0,0,5,4,0
c1adcda930824468a069b413d77dccd6,15,5,1,21,5,2,0,0,6,6,7
e775e7edc70647cd931bb9a48e195194,25,2,1,9,11,5,1,0,2,6,0
2572f7daebc8461eb5eeb99204c00046,0,0,0,61,0,15,0,0,0,2,0
31211e823fe0407ab2351dd072d994c7,11,0,1,40,0,19,0,0,0,3,0
e9dc8a4c1eb94c6685fea2510529edf9,8,0,1,55,1,10,0,0,2,2,0
7a3dd5a9650040b3a89e0eb59ba468fc,18,3,2,14,10,15,0,0,3,5,0
554363732830403caff907a109880051,36,0,3,11,9,0,0,0,4,3,0
69f074b32daa4587937900d6740a1e13,30,0,0,24,8,2,0,0,1,4,0
0a9d00f13b194e0c91f228c07cd14b15,16,1,2,18,10,13,0,0,3,5,4
4418a3776e2a4cbf86fce02ceccfa092,5,2,1,28,4,8,0,0,6,9,1
7e9dea88996c40f2bb07eb932e663b6f,35,0,0,3,21,1,0,0,1,6,0
7c936b76b1744ca786b01f2337702789,40,1,1,12,6,8,0,0,8,3,0
6206f945b1214aedac82a367d3b43533,28,0,0,22,9,4,0,0,3,5,0
a3432bb952444ae692ee7548fbc48e47,14,1,1,41,4,7,0,0,3,3,0
523548fa9e9249bd8de4814774702e04,19,1,0,19,9,14,0,0,0,4,0
7e2f928db0d64979a85d81f2b9e29f3a,8,0,0,42,4,21,0,0,0,4,0
f56a9aced0ed41ffa8973822d3992d8b,17,3,0,24,2,5,0,0,1,6,0
a1210a6f9bb149eaabc0fdcecd769c32,37,1,0,16,7,5,0,0,1,2,0
a83454b5f43449fcb8ad56714271140d,26,2,0,21,10,16,0,0,2,3,0
1dfa6134fd544be7bbb073580af56922,34,2,1,9,8,5,1,0,6,7,0
b15946d21e75477fb8492216fb3c5d78,42,0,0,7,2,1,0,0,1,7,0
3d4c8ea434634fe08704a9c3f427967d,0,0,0,54,0,10,0,0,2,1,0
f57a2edbde9b4f1ba867ef02e55a9335,15,0,0,41,2,12,0,0,0,5,0
e11245309b96426285e1a40328c1fd3a,23,1,0,32,9,8,0,0,1,2,0
796cc284188546ae832b543e0fc681c2,9,3,2,4,2,28,1,0,5,7,0
cf4b174561cd4918aa4339848b04f0b6,21,0,0,14,7,8,0,0,6,4,0
4a815986a1a5428588b409579f51480f,34,0,0,7,6,2,0,0,6,5,0
8f91154efb5c47c984a1a5d431a1a37d,26,0,0,0,16,0,0,1,1,6,0
966d168d7ce44032b9c1f305bdec6b99,0,0,0,26,0,13,0,0,0,3,0
68545de2a7cb46a785fa36e3772492a0,28,5,3,0,14,0,0,0,7,11,0
0b72c8eca80b445d855ade838a74dbeb,34,1,1,2,16,0,0,0,2,7,0
72542c699d3c415f947229ac26870641,23,0,0,10,14,2,0,0,2,7,0
300c65f472fb4a0abde859a492cb6303,22,0,1,23,3,7,0,1,2,5,0
86780644b6934022a3990796e3ed932f,37,1,0,12,7,5,0,0,7,6,1
c887b0e1d884418a89518b47b8fe6868,1,0,0,30,0,24,0,0,0,2,0
b41a4ee4d93b465e8ef97bec4904ebf0,20,1,0,27,14,13,0,0,1,5,2
9f61a8db323e47f9a4e8d9e184c615e1,19,1,3,20,2,5,0,0,6,4,7
682e9f3728964296883f80a923ea77ea,30,1,1,15,2,12,0,0,1,8,0
59b12fd250a141f7a66e3a2da091c5bb,15,0,0,29,3,25,0,0,3,6,0
