id,created,expo,side
9565c7f747a54ca79c297363932e3736,10.10.2019 11:18,BMBF,left
32cba6d22b7343e48e2e4100c884fc26,10.10.2019 11:23,BMBF,left
ab8d877525ca40b1935488af312407c3,10.10.2019 11:58,BMBF,left
b6693586188549148a345a89fa990945,10.10.2019 12:03,BMBF,left
702532bc7c0e48e982401c5e39b30d16,10.10.2019 12:44,BMBF,left
dda3b959fc2d445e8cbb5054e252a66f,10.11.2019 10:17,BMBF,left
17b513e669d148cea62732bfed95d451,10.12.2019 10:56,BMBF,left
386c88a8bf334d9eb833d1708296b004,10.12.2019 11:21,BMBF,left
2d231b92b77a4e51a43a880080adcdbe,10.12.2019 12:23,BMBF,left
63500c32617b4e2490cdd27808e9311a,10.12.2019 12:26,BMBF,left
d5aaedc81f614b11a976890a03e4c1d9,10.12.2019 15:56,BMBF,left
3dbf3a8c51144657bf3e3d3b84b6cd5a,11.07.2019 15:54,BMBF,left
e67a41b0cf17455fb990b3b8bc2215ff,11.09.2019 10:07,BMBF,left
fa0f640431df47879f58152a97bca1c4,11.09.2019 11:52,BMBF,left
a8d68db7a49a477eb7cb98c343feac30,11.09.2019 11:57,BMBF,left
4880b36f4a584968ba97cafe95327681,11.09.2019 12:53,BMBF,left
97d66051f76b4a17b4cc15a4bef87e7c,11.09.2019 12:56,BMBF,left
9f8f84cb6fda47b194b758f26a14a4ef,11.09.2019 12:59,BMBF,left
c0daa9dfde714df690f7cc584b91af11,11.09.2019 13:02,BMBF,left
19c206ff16f64560ab66b9903b712c27,11.09.2019 13:04,BMBF,left
55863ecffa21427992c2d94827ea3979,11.09.2019 13:07,BMBF,left
52399eeca4c449039430bd0dd051f2ec,11.09.2019 14:34,BMBF,left
0ab72c8b6a55410191b9cb2126e182a6,11.09.2019 14:39,BMBF,left
2a5d46fdc2dd4ba4a864fc5629fd2894,11.10.2019 09:52,BMBF,left
3fd7629e0a884baab771907f3527d29f,11.10.2019 09:57,BMBF,left
563e1d9d170a45729b70659753b74c23,11.10.2019 11:27,BMBF,left
25397bd8eff54bb59bdaa6f79b25b686,11.10.2019 11:29,BMBF,left
b93c4818fcf548e99a10569d7eb8326d,11.10.2019 11:35,BMBF,left
ec5f4e55cadf413682169aa004de6962,11.10.2019 11:41,BMBF,left
dc66966139d3457597c36999aaf07bd6,11.10.2019 13:53,BMBF,left
74661557331542eca70d90fb27b8f05d,11.10.2019 17:07,BMBF,left
5e79a89271c748daa0dc20cd7a0e9913,11.11.2019 12:40,BMBF,left
aac10b51b0834b3e8f60e2c1c94ea2c9,11.11.2019 12:57,BMBF,left
a25188751e2c44c685aa74005dc12a7e,11.12.2019 11:27,BMBF,left
91321b95421a4b6587008d20c6817279,11.12.2019 12:25,BMBF,left
8179267cf79e401e82cfceb921d05969,11.12.2019 12:33,BMBF,left
fdb498cb898d413da79b97e1e73fd37c,11.12.2019 12:45,BMBF,left
f25129f74ae64b14ba3e8a4e215f6aaf,11.12.2019 13:11,BMBF,left
f4d98b981aad40f7b2e8bc19a37c75b4,11.12.2019 13:18,BMBF,left
de523735873c43e0bae2c81630880604,12.07.2019 09:50,BMBF,left
7b99236a72d440e79fff4a3dcf52c548,12.07.2019 10:29,BMBF,left
4d367ffed21b456ab768f49f443d5a15,12.07.2019 10:46,BMBF,left
68a7a19304914de8962c9c6ec2fa9cc4,12.07.2019 14:08,BMBF,left
927e6d0ae3274724932cb849bd951495,12.07.2019 14:30,BMBF,left
661353ee17e7465c9fb4052497bc181f,12.07.2019 14:43,BMBF,left
