id,condition,2std,1std
9b605535ba324237b47615cf78e5d5a1,AVAS,False,False
88d45f6c7108461d8973fad27207e70d,AVAS,True,True
54d78ac6fb7b4b04bf067637bc675ac5,AVAS,False,False
d498b4920722459aa9f19cc9daddcaba,TaxiDriver,False,False
780225351a0840a8ac763843d2128bf8,TaxiDriver,False,True
941772a619bd462f8295e569c7364992,AVAS,False,False
b8da24d5e9aa4b5f9430612ed6a7eaaf,RadioTalk,False,False
3a16b0b78b1447cc8b1fad9656ef0d51,TaxiDriver,False,False
5df9af209a8843889ce4425034e1c3dc,RadioTalk,False,False
3b0e12c1efe444959e5e2b1b016e38ad,RadioTalk,False,False
e60c5e9e8d084a0f9ffcbd5c5ef02674,RadioTalk,False,False
c021bb644aa64bcb918533ca78e2c818,AVAS,False,False
df8f1f0ad5d9421897a6db20c0c7defc,RadioTalk,False,False
86e026b7412140bc94beb371cce70672,TaxiDriver,False,False
de6aa7977a2a4cf7b1d3332a17d3d4ac,RadioTalk,False,False
75a66024e2c842a1829747ed8c93be73,RadioTalk,False,False
ed22be7e7d264c719e661562fab0c927,RadioTalk,False,False
8a2f999c2d4c4b86b5e948b575edefb5,RadioTalk,False,False
320e57920da84e039c4ab62ccf19de6d,RadioTalk,False,False
2bd4da61824e43e4850e463a0213edea,TaxiDriver,False,False
206973e6e2054e548199e7d5452950cc,TaxiDriver,False,False
11f96fa3d5744a6eb19ea970c36d2479,AVAS,False,False
755d125dd45d441f8be9a61a44e1f103,TaxiDriver,False,False
dcd7eba72ffb4d0b88dbf6a029d3608c,AVAS,False,False
ed360e87202b44f48567f2a7caf17f60,RadioTalk,False,False
05a4e672b9304dbb8b4aab2775834de9,TaxiDriver,False,False
2dbc75f500024f96b4f4fa462fd58210,TaxiDriver,False,False
4f616a73be4f4f3dbc8b41b72d45d154,TaxiDriver,False,False
c0b97accae414ba29f95d0094ecaf138,AVAS,False,False
9b4ead458b8a40b1a4b6ecc15a43e24b,AVAS,False,False
fe291f82b2024e2f8b0c349d7cbb2f2c,AVAS,False,False
2d49824ea43f4abba28d58221db56bef,RadioTalk,False,False
46bfabc41848449fb7faba0f6c23199e,RadioTalk,False,False
a1ae19404b3f4014984a57abaf35c476,TaxiDriver,False,True
d0fdb873f86d49a8953554752a6bdd51,TaxiDriver,False,False
5c7d6067117b4d36a975947ff23f04c2,TaxiDriver,False,False
54171fccc5b3458f947b73871217128f,AVAS,False,False
32756ff0fe8f449a8cd17e2dfd54c1ad,RadioTalk,False,False
18881d3ec46e4a34bf3d1ff80de5109a,AVAS,False,False
c0dc2be966224299a2cbd4afe2a7a26f,AVAS,False,False
a24bf755207e4d4f97a97588f90d11d3,TaxiDriver,False,False
c03943455be84e538c0407a38493bdf9,RadioTalk,False,True
46d38cc7003c449ba90edb88a23ebf3d,RadioTalk,False,False
c2f38218f14d499ba2b141b920d12edd,RadioTalk,False,False
1a6e71cebb424393adb4732916202afd,AVAS,True,True
ee0b9b2ae9854d8c91dbb9d64cbdbd58,TaxiDriver,False,False
0789bd6d21d14d54bb9d974524fa1bf6,TaxiDriver,False,False
90217d49cedb4da492e807e30e89137c,AVAS,False,False
a44c75e916e049d29a6236be3324536e,RadioTalk,False,False
f5a58da8a35b4c2a863ae7aacc90e341,RadioTalk,False,False
649ac30a570642048675ea0d6a57edf7,RadioTalk,False,False
06bada6bb8314630b98636e5bb7d9dbb,AVAS,False,False
5e8629aff5dd4840971e0c4cd0ff88cc,RadioTalk,True,True
4f5690f6fe624e31b0a0e99d5f9c4450,RadioTalk,True,True
3bc71c04d09040a2825e7eecd47f3eff,AVAS,False,False
698bf5b232c14670a99f4c094cb07e23,AVAS,False,False
53c9ed8c361c4cc4a776dbf8155cf5e0,TaxiDriver,False,False
8db729b2ef8c4a8693015b4c600aebfe,AVAS,False,True
c625d28b0a2d45eeaa5532a9370c6e67,RadioTalk,False,False
6f84cb4618e044d8a71c1e0fddf49e2a,RadioTalk,True,True
d7683283f0024df5b4f9b4855b29089e,RadioTalk,False,False
9b83c1f3d1c942b6949191b8ac3acd34,AVAS,False,False
42136fd6c90d4bfcb8cc7829b7f79808,TaxiDriver,False,False
980429ee30fe44ac96d3dcd89229c751,RadioTalk,False,False
18d90b28790d4b7286eb0c73b666fd92,TaxiDriver,False,False
55b9a3f32df340cc86f03d13bad8e6da,AVAS,False,True
104da7d074ef4e3bb33b0c99446169cc,AVAS,False,True
9901ca8064514ad596ce6290ada06724,AVAS,False,False
af6d9629229c4482bf24f85f9afd3919,RadioTalk,False,False
9d37908183e84199806aaf4c8824643d,RadioTalk,False,False
9b324b3235a14f3b98b02ce36b395969,AVAS,False,False
2a67d28355a24ee6b413851a22ff0719,RadioTalk,False,False
57efb6c349a04aaea9d3c4a2df2a636a,RadioTalk,False,False
e765e803b461449bafe2f70f7481d861,TaxiDriver,False,False
d3cd11ef93514216b5a010ad2101fea7,TaxiDriver,False,False
39afc094e09041618e4c36915b26f768,RadioTalk,False,False
8b7e286d9016489c9909168c0c4c0a20,AVAS,False,False
610b37287dc24341a60d3ccdf6295827,RadioTalk,False,False
07867f84065e44b39e7ba79ce8598fc7,RadioTalk,False,False
6d67dbea0bd3410c90d76f06d1a0b64a,TaxiDriver,False,False
ee63529ee1a74dfd968a69ca369163bc,RadioTalk,False,False
00803609c3074d37bc3fa9190c2aa256,TaxiDriver,False,False
3c0d0edb220240e5b1c9bf3ecfb37988,AVAS,False,False
706ece9f26dd42d7b4eb993c7fba33ef,RadioTalk,False,False
ce16b00117e446429201d9b3ad45c73b,TaxiDriver,False,True
fe3add9230c54bf9a36aeb8a151f76e6,AVAS,False,False
8d8e6480c89e427f890202c535255b56,TaxiDriver,False,False
b1249d93f2a44db88c5d649f1d42ad78,AVAS,False,False
4a81013077fc458f8b22ea3c9cc686fa,TaxiDriver,False,False
31454ccf68f14685a52aff9da42d89b3,TaxiDriver,False,False
2929fc2d55ea42e5a02052824e66e605,AVAS,False,False
b097489dd2574b41b8d9fda729a19801,RadioTalk,False,True
3cbaeba0e5a449b6bff0ce6f0963b601,AVAS,False,False
d2e5ea6144d14dc5b994e32bd98f465e,TaxiDriver,True,True
d5dc0dc4049e4a2eb50131ce8b11c23b,TaxiDriver,False,False
7c30fdbf4f8b427e8603cb531bff12d5,AVAS,False,True
eca1f08e3fbf437db61e11951aa14eec,TaxiDriver,True,True
15587d7fec0c4599bdd8f4a180e94aab,TaxiDriver,False,False
b304b224633a41eb89584c0fd25511cb,RadioTalk,False,False
73050ac5b1d542648afd8103277fff66,AVAS,False,False
a12406ee83004ee099a29cbf72afbb53,AVAS,False,True
6b666ad331bb4f42a28f3556fcab3ebe,RadioTalk,False,False
2f9eb3271fc84c20a9d56d016304b3ac,TaxiDriver,False,False
4faa91742672407da1b0059bef40ee87,TaxiDriver,False,False
a95db2d0a3ff4aeebd69ac214b75c002,RadioTalk,False,False
265b57b2034c4107ad22328647e965b3,AVAS,False,False
0ae4ee2510cb4e00a69e73ec4825214e,RadioTalk,False,False
50228d3e5a2b4116850c9a4dcdb8e856,TaxiDriver,False,False
5dbb258de5f44c8ca595c61e405f298d,AVAS,False,False
ea73fab8e0ac4124857e0eddd3b67c5f,RadioTalk,False,False
fe3765d2b494443d8b21e379668ddc48,TaxiDriver,False,True
c96f7bc4c0c5430a84a7f07f3f0114ed,RadioTalk,False,False
0aca2459ae514d98862436ad22cb496e,RadioTalk,False,True
3ce5f0162a634f9ebc33324ad21ec777,AVAS,False,False
0007826f6d5a4bc8a4bf504f0f53a69f,TaxiDriver,False,False
e9692d2a54bb43e2af5522fd5aaae894,TaxiDriver,False,False
044833099e844b2288724ba68b333e59,TaxiDriver,False,False
43dfd05246c347dd9d8fd91f55f8157b,AVAS,False,False
9ee34cb7013e4dff86c2d891c3289f9a,TaxiDriver,False,False
8eb4518754ee45b0b632e02a79fa8c82,RadioTalk,False,False
80483b635faa417ca495c5ea1303ffd5,AVAS,False,False
d8310644022246ddafa0d462adc48651,AVAS,False,False
3bd2c8fabeea4e5db0ed3aeda5bf4646,TaxiDriver,False,False
96ec48e5f33446b3b417022f932926ef,TaxiDriver,False,False
acce225b8df5438e8b499103d176f34f,TaxiDriver,True,True
11ea5aad9d014339af32d01386c13e96,RadioTalk,False,False
68b4dc5e47c74a9f982f0d846cee976a,TaxiDriver,False,False
f2da1f46bc6e4df8acbfa66acb011f80,TaxiDriver,False,False
a630c53656c14e008ae0412b11d95d3e,RadioTalk,False,False
696088784e7d43c88430bbac6efff33b,AVAS,False,False
cce5beb9e8fb44e4a908ca59d9d747ff,TaxiDriver,False,False
eb163a47dcd84964840a5f0ed10515a6,AVAS,False,False
16496051272840a4add0a56c68ab8e6b,TaxiDriver,False,False
782f964500ec4b02be899729cb95562b,RadioTalk,True,True
009dcd4f1cc84a53aa9aeccb3098e2bf,TaxiDriver,False,True
475665d3bf234789b90f8604bbc132ee,AVAS,False,False
4d50a2c85aa84677bc3abd6d5f1b5075,TaxiDriver,True,True
ba2bb0c32eb2490fa86d82d53906b2cf,TaxiDriver,False,False
6ee56ed321a94d23a0fbed5dc3426ba3,RadioTalk,False,True
0f6d07360ba5447da4b82234eaa29802,TaxiDriver,False,False
e93fb0de5a444270a36f8b02da7c91ae,RadioTalk,False,False
f80a2ed353f941e890bbd919fe4a2da8,AVAS,False,False
c911c5c5d0b2429aad3e0dd32c1f1be8,TaxiDriver,False,False
fa6ade29a30440bbb40525006b817c49,AVAS,False,True
6067d73eac38456d850ee6650bb1b7fa,RadioTalk,False,False
c1adcda930824468a069b413d77dccd6,TaxiDriver,False,False
e775e7edc70647cd931bb9a48e195194,RadioTalk,False,False
2572f7daebc8461eb5eeb99204c00046,TaxiDriver,False,False
31211e823fe0407ab2351dd072d994c7,AVAS,False,False
e9dc8a4c1eb94c6685fea2510529edf9,AVAS,False,False
7a3dd5a9650040b3a89e0eb59ba468fc,RadioTalk,True,True
554363732830403caff907a109880051,RadioTalk,False,False
69f074b32daa4587937900d6740a1e13,AVAS,False,False
0a9d00f13b194e0c91f228c07cd14b15,RadioTalk,False,False
4418a3776e2a4cbf86fce02ceccfa092,AVAS,False,False
7e9dea88996c40f2bb07eb932e663b6f,AVAS,False,False
7c936b76b1744ca786b01f2337702789,TaxiDriver,False,False
6206f945b1214aedac82a367d3b43533,TaxiDriver,False,False
a3432bb952444ae692ee7548fbc48e47,TaxiDriver,False,True
523548fa9e9249bd8de4814774702e04,RadioTalk,False,False
7e2f928db0d64979a85d81f2b9e29f3a,RadioTalk,False,False
f56a9aced0ed41ffa8973822d3992d8b,TaxiDriver,False,False
a1210a6f9bb149eaabc0fdcecd769c32,RadioTalk,False,False
a83454b5f43449fcb8ad56714271140d,AVAS,False,False
1dfa6134fd544be7bbb073580af56922,AVAS,False,True
b15946d21e75477fb8492216fb3c5d78,AVAS,False,False
3d4c8ea434634fe08704a9c3f427967d,RadioTalk,False,False
f57a2edbde9b4f1ba867ef02e55a9335,TaxiDriver,False,False
e11245309b96426285e1a40328c1fd3a,TaxiDriver,False,False
796cc284188546ae832b543e0fc681c2,RadioTalk,False,False
cf4b174561cd4918aa4339848b04f0b6,AVAS,False,False
4a815986a1a5428588b409579f51480f,TaxiDriver,False,False
8f91154efb5c47c984a1a5d431a1a37d,TaxiDriver,False,False
966d168d7ce44032b9c1f305bdec6b99,AVAS,False,False
68545de2a7cb46a785fa36e3772492a0,AVAS,False,False
0b72c8eca80b445d855ade838a74dbeb,AVAS,False,False
72542c699d3c415f947229ac26870641,RadioTalk,False,False
300c65f472fb4a0abde859a492cb6303,RadioTalk,False,False
86780644b6934022a3990796e3ed932f,AVAS,False,False
c887b0e1d884418a89518b47b8fe6868,TaxiDriver,False,False
b41a4ee4d93b465e8ef97bec4904ebf0,TaxiDriver,False,False
9f61a8db323e47f9a4e8d9e184c615e1,AVAS,False,False
682e9f3728964296883f80a923ea77ea,RadioTalk,False,False
59b12fd250a141f7a66e3a2da091c5bb,TaxiDriver,False,False
65c91455369b49ffaf475780ecbec18c,RadioTalk,False,False
8ab6f92af7644242b052e3ef160126ba,AVAS,False,False
20f756ea1a374cb998dfe26f1947425b,RadioTalk,False,False
c2a48ab9598941ec87631878ce31f3f7,RadioTalk,False,False
11d3d741eb4b4e1bb131d62455486225,RadioTalk,False,False
1b104c134da34247b3b3b686e2116197,TaxiDriver,False,False
0fcb86527aed4fa5846c9fbaf7ee0d5b,AVAS,False,False
614a3e4b8f534689816152edda265a75,TaxiDriver,False,False
702e7bdd24194bd7891eebae85b625b7,RadioTalk,False,False
da2ee3cbd374486182c8369138ea2042,TaxiDriver,True,True
ff61d53798a9436a8a9edb580b3071ce,TaxiDriver,True,True
3affaf2525074614ae587243a7153f86,AVAS,False,False
8ce5bca7ff494cbaa83b3738cd2b0143,RadioTalk,False,True
6fb29299ea8b4e6a96f05ca7fa831053,AVAS,False,False
26f6886d221049c782d0e26bad422c59,TaxiDriver,False,False
d21e5fd50ede40c7b4a43fe49b47b5e6,TaxiDriver,False,False
bec0ac08acec49a2a0d3268d0eca687c,RadioTalk,False,False
b78d0bb0d4ea4d1295e2404d871cea05,RadioTalk,False,False
3dfcf71a66ee4d989f019f2cf2e5ad03,AVAS,True,True
